target,Tm1,Tm2,Tm3,Tm4,Tm5,Tm6,Tm7,Tm8,Tm9,Tm10,Tm11,Tm12,Tm13,Tm14,Tm15,Tm16,Tm17,Tm18,Tm19,Tm20,Tm21,Tm22,trend,skew,mean,stddev,hurst,serialcorr,date
-222.8647,-169.792,-184.1617,-154.0204,-98.7688000000001,-38.1329999999999,1.0059,65.5233999999999,172.2777,128.7871,181.4519,212.2485,151.3828,61.0263,2.3977,0.3248,-0.1603,0.2086,0.271,-0.5501,1.1266,0.7254,-10.616,2.25218781583233,-0.00152189922632426,14.6616090909091,108.724944265027,0.176044785752942,8.54914273119567e-05,2016-05-31 20:00:00
-103.2863,-222.8647,-169.792,-184.1617,-154.0204,-98.7688000000001,-38.1329999999999,1.0059,65.5233999999999,172.2777,128.7871,181.4519,212.2485,151.3828,61.0263,2.3977,0.3248,-0.1603,0.2086,0.271,-0.5501,1.1266,0.7254,2.48036284429617,-0.13186009104601298,5.01394090909091,119.915737990409,0.112647421137769,9.27081393619078e-05,2016-05-31 21:00:00
-3.7228,-103.2863,-222.8647,-169.792,-184.1617,-154.0204,-98.7688000000001,-38.1329999999999,1.0059,65.5233999999999,172.2777,128.7871,181.4519,212.2485,151.3828,61.0263,2.3977,0.3248,-0.1603,0.2086,0.271,-0.5501,1.1266,2.47735581772361,-0.0398932653819024,0.286136363636363,122.12294199333799,0.17229911161037698,3.49588017877211e-05,2016-05-31 22:00:00
0.0199,-3.7228,-103.2863,-222.8647,-169.792,-184.1617,-154.0204,-98.7688000000001,-38.1329999999999,1.0059,65.5233999999999,172.2777,128.7871,181.4519,212.2485,151.3828,61.0263,2.3977,0.3248,-0.1603,0.2086,0.271,-0.5501,2.1302165950768996,-0.0343500815705854,0.0657090909090898,122.125729209676,0.17935998665256797,3.40502213940219e-05,2016-05-31 23:00:00
-0.1595,0.0199,-3.7228,-103.2863,-222.8647,-169.792,-184.1617,-154.0204,-98.7688000000001,-38.1329999999999,1.0059,65.5233999999999,172.2777,128.7871,181.4519,212.2485,151.3828,61.0263,2.3977,0.3248,-0.1603,0.2086,0.271,1.97177517154276,-0.0350015705075745,0.0916181818181807,122.12565280701901,0.184366819967037,3.4048808639330894e-05,2016-06-01 00:00:00
0.1705,-0.1595,0.0199,-3.7228,-103.2863,-222.8647,-169.792,-184.1617,-154.0204,-98.7688000000001,-38.1329999999999,1.0059,65.5233999999999,172.2777,128.7871,181.4519,212.2485,151.3828,61.0263,2.3977,0.3248,-0.1603,0.2086,1.9715750901362101,-0.0345095657236628,0.0720499999999989,122.125657185492,0.18557551713302198,3.40488731669364e-05,2016-06-01 01:00:00
-0.1771,0.1705,-0.1595,0.0199,-3.7228,-103.2863,-222.8647,-169.792,-184.1617,-154.0204,-98.7688000000001,-38.1329999999999,1.0059,65.5233999999999,172.2777,128.7871,181.4519,212.2485,151.3828,61.0263,2.3977,0.3248,-0.1603,1.9715764426553701,-0.0344660242581617,0.0703181818181807,122.125655427061,0.185706720490677,3.40488352000845e-05,2016-06-01 02:00:00
0.0655999999999999,-0.1771,0.1705,-0.1595,0.0199,-3.7228,-103.2863,-222.8647,-169.792,-184.1617,-154.0204,-98.7688000000001,-38.1329999999999,1.0059,65.5233999999999,172.2777,128.7871,181.4519,212.2485,151.3828,61.0263,2.3977,0.3248,1.97157819347891,-0.0344468229495377,0.0695545454545443,122.12565699027901,0.18503418128829896,3.40487755764451e-05,2016-06-01 03:00:00
-0.4802,0.0655999999999999,-0.1771,0.1705,-0.1595,0.0199,-3.7228,-103.2863,-222.8647,-169.792,-184.1617,-154.0204,-98.7688000000001,-38.1329999999999,1.0059,65.5233999999999,172.2777,128.7871,181.4519,212.2485,151.3828,61.0263,2.3977,1.97163891743868,-0.0341506050793609,0.0577727272727262,122.125643696311,0.182392723827307,3.40500295816781e-05,2016-06-01 04:00:00
0.6568,-0.4802,0.0655999999999999,-0.1771,0.1705,-0.1595,0.0199,-3.7228,-103.2863,-222.8647,-169.792,-184.1617,-154.0204,-98.7688000000001,-38.1329999999999,1.0059,65.5233999999999,172.2777,128.7871,181.4519,212.2485,151.3828,61.0263,2.02251758701623,-0.0308627917185891,-0.0730409090909102,122.124559267022,0.177767184787101,3.43764800551094e-05,2016-06-01 05:00:00
0.6159,0.6568,-0.4802,0.0655999999999999,-0.1771,0.1705,-0.1595,0.0199,-3.7228,-103.2863,-222.8647,-169.792,-184.1617,-154.0204,-98.7688000000001,-38.1329999999999,1.0059,65.5233999999999,172.2777,128.7871,181.4519,212.2485,151.3828,2.15707863123129,0.0317729893768767,-2.81710909090909,121.362172007822,0.153990092732984,5.2264011413116796e-05,2016-06-01 06:00:00
22.3461,0.6159,0.6568,-0.4802,0.0655999999999999,-0.1771,0.1705,-0.1595,0.0199,-3.7228,-103.2863,-222.8647,-169.792,-184.1617,-154.0204,-98.7688000000001,-38.1329999999999,1.0059,65.5233999999999,172.2777,128.7871,181.4519,212.2485,2.15642900272127,0.10369944005521302,-9.67015,116.395318703508,0.10465024645352698,0.000139619871335706,2016-06-01 07:00:00
28.2366,22.3461,0.6159,0.6568,-0.4802,0.0655999999999999,-0.1771,0.1705,-0.1595,0.0199,-3.7228,-103.2863,-222.8647,-169.792,-184.1617,-154.0204,-98.7688000000001,-38.1329999999999,1.0059,65.5233999999999,172.2777,128.7871,181.4519,1.96449734462135,-0.059866615142751003,-18.302077272727303,105.704710864622,0.127935741196811,0.000212041101355753,2016-06-01 08:00:00
98.3795,28.2366,22.3461,0.6159,0.6568,-0.4802,0.0655999999999999,-0.1771,0.1705,-0.1595,0.0199,-3.7228,-103.2863,-222.8647,-169.792,-184.1617,-154.0204,-98.7688000000001,-38.1329999999999,1.0059,65.5233999999999,172.2777,128.7871,1.8151822344136501,-0.282578043690015,-25.2664090909091,96.56982638673279,0.165142080381115,0.000198628908108733,2016-06-01 09:00:00
369.1385,98.3795,28.2366,22.3461,0.6159,0.6568,-0.4802,0.0655999999999999,-0.1771,0.1705,-0.1595,0.0199,-3.7228,-103.2863,-222.8647,-169.792,-184.1617,-154.0204,-98.7688000000001,-38.1329999999999,1.0059,65.5233999999999,172.2777,1.81513578601007,-0.3591843614401721,-26.6485727272727,94.4543622800485,0.0473558969759518,0.00103508031226618,2016-06-01 10:00:00
227.6599,369.1385,98.3795,28.2366,22.3461,0.6159,0.6568,-0.4802,0.0655999999999999,-0.1771,0.1705,-0.1595,0.0199,-3.7228,-103.2863,-222.8647,-169.792,-184.1617,-154.0204,-98.7688000000001,-38.1329999999999,1.0059,65.5233999999999,2.44105940401638,1.12042982970778,-17.7003545454545,120.05323208107401,-0.18795367592595896,0.0106894784474935,2016-06-01 11:00:00
-28.1528999999999,227.6599,369.1385,98.3795,28.2366,22.3461,0.6159,0.6568,-0.4802,0.0655999999999999,-0.1771,0.1705,-0.1595,0.0199,-3.7228,-103.2863,-222.8647,-169.792,-184.1617,-154.0204,-98.7688000000001,-38.1329999999999,1.0059,1.72087347302093,1.02378231299496,-10.3305136363636,129.97232126124598,0.0101639820901532,0.00062275527680189,2016-06-01 12:00:00
230.2263,-28.1528999999999,227.6599,369.1385,98.3795,28.2366,22.3461,0.6159,0.6568,-0.4802,0.0655999999999999,-0.1771,0.1705,-0.1595,0.0199,-3.7228,-103.2863,-222.8647,-169.792,-184.1617,-154.0204,-98.7688000000001,-38.1329999999999,1.57095622506857,1.05428044307484,-11.6559136363636,129.99988393452801,0.00904919968758505,0.000755981350600399,2016-06-01 13:00:00
-24.3290999999999,230.2263,-28.1528999999999,227.6599,369.1385,98.3795,28.2366,22.3461,0.6159,0.6568,-0.4802,0.0655999999999999,-0.1771,0.1705,-0.1595,0.0199,-3.7228,-103.2863,-222.8647,-169.792,-184.1617,-154.0204,-98.7688000000001,1.3777368645264398,0.8355648277825161,0.5422363636363601,139.630779875054,-0.20810591205672302,0.00465376192226585,2016-06-01 14:00:00
-9.06270000000006,-24.3290999999999,230.2263,-28.1528999999999,227.6599,369.1385,98.3795,28.2366,22.3461,0.6159,0.6568,-0.4802,0.0655999999999999,-0.1771,0.1705,-0.1595,0.0199,-3.7228,-103.2863,-222.8647,-169.792,-184.1617,-154.0204,1.19893094868176,0.8080762165527942,3.92585909090909,138.002048643695,-0.21733352966093303,0.00828957745023828,2016-06-01 15:00:00
