target,Tm1,Tm2,Tm3,Tm4,Tm5,Tm6,Tm7,Tm8,Tm9,Tm10,Tm11,Tm12,Tm13,Tm14,Tm15,Tm16,Tm17,Tm18,trend,skew,mean,stddev,hurst,serialcorr,date
23.0259,-0.0237,0.4941,-0.1411,0.2223,-0.2847,0.1815,-0.1943,0.0264,0.382,-0.5521,-0.0354,0.2557,-0.8065,-5.2363,-21.8227,-13.9643,-34.3034,-113.2387,1.3455856205878,-3.2085120933966698,-10.5022888888889,27.348132711305198,-0.44836852914777703,0.195439274497002,2016-02-17 13:00:00
13.5413,23.0259,-0.0237,0.4941,-0.1411,0.2223,-0.2847,0.1815,-0.1943,0.0264,0.382,-0.5521,-0.0354,0.2557,-0.8065,-5.2363,-21.8227,-13.9643,-34.3034,1.6841980498033797,-0.839413169892951,-2.93203333333333,11.510756106713199,-0.37137793109442396,0.146558895207185,2016-02-17 14:00:00
-11.783,13.5413,23.0259,-0.0237,0.4941,-0.1411,0.2223,-0.2847,0.1815,-0.1943,0.0264,0.382,-0.5521,-0.0354,0.2557,-0.8065,-5.2363,-21.8227,-13.9643,1.2433483978383202,0.20721804474153102,-0.273994444444445,9.115250943173539,-0.134622226109372,0.0277918114042428,2016-02-17 15:00:00
42.6694,-11.783,13.5413,23.0259,-0.0237,0.4941,-0.1411,0.2223,-0.2847,0.1815,-0.1943,0.0264,0.382,-0.5521,-0.0354,0.2557,-0.8065,-5.2363,-21.8227,1.19277750924446,0.266489714213629,-0.15281111111111098,8.935260624717891,-0.35475201669859296,0.391348889709569,2016-02-17 16:00:00
36.2862,42.6694,-11.783,13.5413,23.0259,-0.0237,0.4941,-0.1411,0.2223,-0.2847,0.1815,-0.1943,0.0264,0.382,-0.5521,-0.0354,0.2557,-0.8065,-5.2363,1.30846274301368,2.19325508851411,3.43008333333333,12.1033546504921,-0.9937270724252671,0.45076852999292,2016-02-17 17:00:00
40.4804,36.2862,42.6694,-11.783,13.5413,23.0259,-0.0237,0.4941,-0.1411,0.2223,-0.2847,0.1815,-0.1943,0.0264,0.382,-0.5521,-0.0354,0.2557,-0.8065,0.8538729533339091,1.6404648688115302,5.736888888888889,14.1400228038292,-0.513808468024809,0.333496199572101,2016-02-17 18:00:00
28.368000000000002,40.4804,36.2862,42.6694,-11.783,13.5413,23.0259,-0.0237,0.4941,-0.1411,0.2223,-0.2847,0.1815,-0.1943,0.0264,0.382,-0.5521,-0.0354,0.2557,0.9700546020144669,1.24810042569677,8.03060555555556,16.2128840173295,-0.31214568048062796,0.0933268873401246,2016-02-17 19:00:00
-16.0898,28.368000000000002,40.4804,36.2862,42.6694,-11.783,13.5413,23.0259,-0.0237,0.4941,-0.1411,0.2223,-0.2847,0.1815,-0.1943,0.0264,0.382,-0.5521,-0.0354,1.00353349642905,0.9545390484838531,9.5924,16.7645181351076,-0.219886209358452,0.0379233348102139,2016-02-17 20:00:00
-9.7174,-16.0898,28.368000000000002,40.4804,36.2862,42.6694,-11.783,13.5413,23.0259,-0.0237,0.4941,-0.1411,0.2223,-0.2847,0.1815,-0.1943,0.0264,0.382,-0.5521,1.03590944991849,0.7907184569334659,8.70048888888889,17.7074193944695,-0.21828617308621,0.15783838416680301,2016-02-17 21:00:00
-58.8443,-9.7174,-16.0898,28.368000000000002,40.4804,36.2862,42.6694,-11.783,13.5413,23.0259,-0.0237,0.4941,-0.1411,0.2223,-0.2847,0.1815,-0.1943,0.0264,0.382,0.877470998273453,0.7696410389306121,8.191305555555559,18.1161892814288,-0.150282360837304,0.100044955624382,2016-02-17 22:00:00
